"drug_name","gene_names","drug_name_lower","alias_asgard"
"Amlodipine","CACNA1C;CACNA1I;CACNA1B;CACNB1;CACNA2D3;CA1;SMPD1;CYP3A4;CYP1A1;CYP2B6;CYP3A5;CYP2C8;CYP2D6;CYP2C19;CYP2C9;ABCB1","amlodipine","amlodipine"
"Digoxin","ATP1A1;CYP11A1;ABCB1;SLCO4C1;ABCB11;SLCO1A2;SLC51A;SLC51B;SLCO1B1","digoxin","digoxin"
"Progesterone","PGR;NR3C2;ESR1;CYP17A1;OPRK1;ORM1;NR3C1;AR;SHBG;ESR2;CYP1A1;CYP1B1;CYP2A6;CYP2D6;CYP2C19;CYP2C9;CYP3A5;CYP3A4;CYP3A7;ABCB1;SLC22A2;SLC22A1;SLC22A3;ABCB11;ABCC1;SLC10A1;SLCO1B1;ABCG2;SLCO1B3","progesterone","progesterone"
"Sorafenib","BRAF;RAF1;FLT4;KDR;FLT1;FLT3;PDGFRB;KIT;FGFR1;RET;CYP3A4;CYP2C9;CYP2C8;CYP3A5;CYP3A7;CYP2B6;CYP1A2;CYP2C19;CYP2D6;UGT1A9;UGT1A1;ABCB1;ABCG2;ABCC4;ABCC2;RALBP1;SLCO1B1","sorafenib","sorafenib"
"Loxapine","HTR2A;DRD2;HTR2C;HTR1A;HTR1B;HTR1D;HTR1E;HTR3A;HTR5A;HTR6;HTR7;ADRA1A;ADRA1B;ADRA2A;ADRA2B;ADRA2C;ADRB1;CHRM1;CHRM2;CHRM3;CHRM4;CHRM5;DRD1;DRD5;DRD3;DRD4;HRH1;HRH2;HRH4;SLC6A4;SLC6A2;SLC6A3","loxapine","loxapine"
"Rosiglitazone","PPARG;ACSL4;PPARA;PPARD;RXRA;RXRB;RXRG;PTGS1;CYP1A2;CYP2D6;CYP3A4;CYP2B6;CYP2E1;CYP2C8;CYP2C9;ALB;SLCO1B1;ABCB11;SLC10A1","rosiglitazone","rosiglitazone"
"Promazine","DRD2;HTR2A;HTR2C;ADRA1A;CHRM1;HRH1;CYP1A2;CYP3A4;CYP2C9;CYP2D6;CYP2C19","promazine","promazine"
"Spironolactone","NR3C2;NR3C1;AR;PGR;ESR1;ESR2;NR1I2;CACNA1C;CACNA1D;CACNA1F;CACNA1S;CACNB1;CACNB2;CACNB3;CACNB4;CACNA1A;CYP11B1;CYP2C8;CYP11B2;ALB;ORM1;ORM2;ABCC2;ABCB1;SLCO1A2;ABCB11","spironolactone","spironolactone"
"Methocarbamol","CA1","methocarbamol","methocarbamol"
"Famciclovir","AOX1","famciclovir","famciclovir"
